minute,ACC(g),grade
0,9.73107850142259,39.0%
1,9.783665839674969,
2,9.898926696736533,
3,9.876029914606669,
4,9.675856425966296,
5,9.982224683344905,
6,9.706371191903656,
7,9.791049030165771,
8,9.770135973492824,
9,9.83782237855898,
10,9.80911197134762,
11,9.835850083061947,
12,9.852616185063344,
13,9.837502834465008,
14,9.837269584446911,
15,9.83651935262951,
16,9.836476430300364,
17,9.836536144514149,
18,9.83607519007598,
19,9.835944543958473,
20,9.835860578439169,
21,10.65337266246633,
22,9.892188678411737,
23,10.17759324801433,
24,10.148716610491444,
25,10.339792383705682,
26,9.896506373860555,
27,9.971705464626012,
28,10.201494893651988,
29,10.148410152574185,
30,9.9783667550815,
31,9.85347369031572,
32,9.786329288832958,
33,10.135477977956622,
34,10.054059018712808,
35,10.106082613260291,
36,10.138353200639555,
37,9.968456251797056,
38,10.121192284374755,
39,10.031446439441458,
40,10.03110775345196,
41,10.196268657336304,
42,10.15651131460054,
43,10.16838197500966,
44,10.048679725528888,
45,10.124449179884484,
46,10.02957678995972,
47,10.146614229610243,
48,10.054384296464736,
49,10.038982461862952,
50,10.036983986254608,
51,10.095561030644667,
52,10.09842744955102,
53,10.142444914235814,
54,10.053358321052336,
55,9.97068529139336,
56,10.056078132620504,
57,9.992719546932104,
58,10.057388005937552,
59,10.10426505706788,
60,9.99450843167179,
61,10.075904066395408,
62,10.08826291989506,
63,10.079714463056307,
64,10.070849082146516,
65,10.096231991214005,
66,10.14932445196238,
67,10.198416567950837,
68,10.075586601378516,
69,10.072673147128947,
70,10.096119142664394,
71,10.07786199733093,
72,10.026526294149464,
73,10.181897047824748,
74,10.10095669344677,
75,10.07537604983668,
76,10.0121125337412,
77,10.065168862355742,
78,10.084288391373844,
79,10.046656769662697,
80,10.096890522368575,
81,10.09270998983408,
82,10.15153257132942,
83,10.058960629810146,
84,10.098953563026098,
85,10.019761190103427,
86,10.118006423980166,
87,10.060737407920913,
88,10.076140450642372,
89,10.089467004003138,
90,10.070555879375652,
91,10.118085903945587,
92,9.999472551978236,
93,10.082333532891264,
94,10.112179251155336,
95,10.03918399952579,
96,10.022096803226368,
97,10.076460747307486,
98,10.03789427919757,
99,10.087885310209206,
100,10.106410599814533,
101,10.088429920315264,
102,10.111524708781683,
103,10.097411803926262,
104,10.07825649605275,
105,10.11765062183706,
106,10.157715975275272,
107,10.239796859403908,
108,10.131233554985906,
109,10.096582103642088,
110,10.103296337706912,
111,10.080718237597583,
112,10.141060539890567,
113,10.193386414360118,
114,10.212251216334725,
115,10.11500338882874,
116,10.043709202104072,
117,9.9446817539666,
118,10.074640980679217,
119,9.978628746964896,
120,10.050202668609844,
121,10.098022653893,
122,10.051175761577614,
123,10.151829115356286,
124,10.013278031279429,
125,10.068544685356615,
126,10.15859550338986,
127,10.074992950638553,
128,10.1318061162016,
129,10.04198204147074,
130,10.105919771013712,
131,10.1705015319944,
132,10.111129325805646,
133,10.047302091669296,
134,9.935716641846009,
135,10.091170324967038,
136,10.181668420665344,
137,9.888168546193633,
138,10.339329969255902,
139,10.322507150954436,
140,9.753512084840386,
141,9.80285132734432,
142,10.07350852414085,
143,11.819756805646282,
144,10.590403820043012,
145,10.460657566563883,
146,10.139616856860622,
147,10.24235685666097,
148,10.1693034151194,
149,9.935627357824236,
